Milicent;Jatczak;mjatczak5@hes.ch;F;1204;ASSISTANT
Nathalie;Roloff;nroloff6@hes.ch;F;1211;ASSISTANT
Lonnard;Seyers;lseyers7@hes.ch;M;1201;ASSISTANT
Mitchell;McAndie;mmcandie8@hes.ch;M;1211;ASSISTANT
Clem;Mathivat;cmathivat9@hes.ch;M;1211;ASSISTANT
Ashlan;Aharoni;aaharonia@hes.ch;F;1204;ASSISTANT
Doralyn;Ambrus;dambrusb@hes.ch;F;1208;ASSISTANT
Sig;Tynemouth;stynemouthc@hes.ch;M;1001;ASSISTANT
Borg;Gillet;bgilletg@hes.ch;M;1217;ASSISTANT
Emalee;Mariyushkin;emariyushkinh@hes.ch;F;1227;ASSISTANT
Jon;Sargeant;jsargeanti@hes.ch;M;1211;ASSISTANT
Hazel;Hugenin;hhugenin0@heg.ch;F;1214;ETUDIANT
Kearney;Connell;koconnell1@heg.ch;F;1201;ETUDIANT
Evangelin;Swallow;eswallow2@heg.ch;F;1203;ETUDIANT
Ody;Oswell;ooswell3@heg.ch;F;1214;ETUDIANT
Adriano;Mattimoe;amattimoe4@heg.ch;F;1206;ETUDIANT
Susanetta;Karslake;skarslake5@heg.ch;F;1204;ETUDIANT
Berta;Juan;bjuan6@heg.ch;F;1203;ETUDIANT
Jarvis;Auty;jauty7@heg.ch;M;1217;ETUDIANT
Bird;Brunnen;bbrunnen8@heg.ch;M;1206;ETUDIANT
Henriette;Jorczyk;hjorczyk9@heg.ch;M;1206;ETUDIANT
Jocko;Gatty;jgattya@heg.ch;F;1206;ETUDIANT
Costanza;Amiable;camiableb@heg.ch;F;1211;ETUDIANT
Lorain;Chesney;lchesneyc@heg.ch;M;1001;ETUDIANT
Kathryn;Josh;kjoshd@heg.ch;F;1214;ETUDIANT
Jermayne;Gadie;jgadiee@heg.ch;M;1217;ETUDIANT
Cly;Allum;callumf@heg.ch;M;1211;ETUDIANT
Florri;Klimuk;fklimukg@heg.ch;M;1227;ETUDIANT
Lemuel;Armitt;larmitth@heg.ch;F;1211;ETUDIANT
Regan;Hannigan;rhannigani@heg.ch;M;1208;ETUDIANT
Grove;Ramberg;grambergj@heg.ch;M;1227;ETUDIANT
Adah;Casellas;acasellask@heg.ch;F;1227;ETUDIANT
Kearney;Banasevich;kbanasevichl@heg.ch;M;1211;ETUDIANT
Neille;Batiste;nbatistem@heg.ch;F;1206;ETUDIANT
Collen;Pendall;cpendalln@heg.ch;F;1214;ETUDIANT
Goran;Pimley;gpimleyo@heg.ch;F;1201;ETUDIANT
