Mariana;Stuckford;mstuckford0@hes.ch;F;ASSISTANT
Tedda;Perren;tperren1@hes.ch;F;ASSISTANT
Hayley;Mazzey;hmazzey2@hes.ch;F;ASSISTANT
Kiley;Mee;kmee3@hes.ch;F;ASSISTANT
Kelcie;Georgi;kgeorgi4@hes.ch;F;ASSISTANT
Milicent;Jatczak;mjatczak5@hes.ch;F;ASSISTANT
Nathalie;Roloff;nroloff6@hes.ch;F;ASSISTANT
Lonnard;Seyers;lseyers7@hes.ch;M;ASSISTANT
Mitchell;McAndie;mmcandie8@hes.ch;M;ASSISTANT
Clem;Mathivat;cmathivat9@hes.ch;M;ASSISTANT
Ashlan;Aharoni;aaharonia@hes.ch;F;ASSISTANT
Doralyn;Ambrus;dambrusb@hes.ch;F;ASSISTANT
Sig;Tynemouth;stynemouthc@hes.ch;M;ASSISTANT
Georgie;Hubach;ghubachd@hes.ch;F;ASSISTANT
Beaufort;Calderbank;bcalderbanke@hes.ch;M;ASSISTANT
Paxon;MacDougal;pmacdougalf@hes.ch;M;ASSISTANT
Borg;Gillet;bgilletg@hes.ch;M;ASSISTANT
Emalee;Mariyushkin;emariyushkinh@hes.ch;F;ASSISTANT
Jon;Sargeant;jsargeanti@hes.ch;M;ASSISTANT
Hakeem;Wingar;hwingarj@hes.ch;M;ASSISTANT
Mimi;Beernaert;mbeernaertk@hes.ch;F;ASSISTANT
Chico;Ryves;cryvesl@hes.ch;M;ASSISTANT
